%SECTION,Levels,

Name,Number,Description,OverrideColor,OverrideStyle,OverrideWeight,OverrideMaterial,ByLevelColor,ByLevelStyle,ByLevelWeight,ByLevelMaterial,DisplayPriority,Transparency,GlobalDisplay,GlobalFreeze,ElementAccess,Plot,OverrideStyleScale,OverrideStyleOriginWidth,OverrideStyleEndWidth,ByLevelStyleScale,ByLevelStyleOriginWidth,ByLevelStyleEndWidth,
C-PAVE-BASE, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Asphalt Base Course",0,0.000000,1,0,0,1,,,,,,,
C-PAVE-SUBBASE, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Aggregate Base 1",0,0.000000,1,0,0,1,,,,,,,
C-PAVE-FINE, ,Material,,,,NULL,0,0,0,"Bentley_Materials.dgnlib|Concrete&Pavers.pal:Asphalt (Grey)",0,0.000000,1,0,0,1,,,,,,,
C-PAVE-COARSE, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Aggregate Base 3",0,0.000000,1,0,0,1,,,,,,,
C-PAVE-DRIVEWAY, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Asphalt Shoulder",0,0.000000,1,0,0,1,,,,,,,
X-OPEN-SUPER, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
S-BRDG-MESH, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Concrete Pavement",0,0.000000,1,0,0,1,,,,,,,
S-BRDG-SUB-MESH, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Concrete Pavement",0,0.000000,1,0,0,1,,,,,,,
C-WALL-NSBR-MESH, ,Material,,,,NULL,0,0,0,"Bentley_Materials.dgnlib|Concrete&Pavers.pal:Paver brick red running bond",0,0.000000,1,0,0,1,,,,,,,
C-PAVE-BASE-DRAIN, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Aggregate Base 1",0,0.000000,1,0,0,1,,,,,,,
C-PAVE-CONCRETE, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Concrete Pavement",0,0.000000,1,0,0,1,,,,,,,
S-BRDG-BARR-MESH, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Barrier",0,0.000000,1,0,0,1,,,,,,,
X-DSGN-DATA, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
X-DSGN-CONTROL-LINE, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
C-BARR-MESH, ,Material,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,1,,,,,,,
C-CURB-MESH, ,Material,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,1,,,,,,,
C-SWLK-MESH, ,Material,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,1,,,,,,,
C-WALL-MESH, ,Material,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,1,,,,,,,
C-BARR-STONE-MESH, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Aggregate Base 1",0,0.000000,1,0,0,1,,,,,,,
C-WALL-NSBR-CASN-MESH, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Concrete Pavement",0,0.000000,1,0,0,1,,,,,,,
G-DETL-GRPH, ,,,,,NULL,226,0,0,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROP-RWAY-IDEN, ,,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-TEXT, ,Annotation -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
S-FNDN-FTNG, ,Concrete Footing,,,,NULL,9,0,3,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO,100,Annotation - General Information,,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-NOTE,102,Annotation -  Notes,,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-DIMS,103,Annotation -  Dimensions,,,,NULL,3,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-LINE-HIDN,104,Annotation -  Hidden Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-CELL,105,Annotation -  Cells,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-PTRN,106,Annotation -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-SYMB,107,Annotation -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-PNTS,108,Annotation -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,0,,,,,,,
C-ANNO-WORK,109,Annotation -  User Work (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,0,,,,,,,
C-ANNO-MISC-JOIN,111,Annotation - Construction Joints,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-MISC-LCON,112,Annotation - Limits of Construction,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ANNO-ATAB,113,Annotation - AutoTab,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF,200,Profile,,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-TEXT,201,Profile - Text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-NOTE,202,Profile - Notes,,,,NULL,4,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-DIMS,203,Profile - Dimensions,,,,NULL,3,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-PTRN,206,Profile - Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-SYMB,207,Profile - Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-PNTS,208,Profile - Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,0,,,,,,,
C-PROF-WORK,209,Profile - User Work (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,0,,,,,,,
C-PROF-AXIS,210,Profile - Axis,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-AXIS-TEXT,211,Profile - Axis - Text,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-AXIS-TITL,212,Profile - Axis - Title,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-FRAM,220,Profile - Frame,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-GRID,230,Profile - Grid,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-GRID-MAJR,231,Profile - Grid - Major,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
Default,0,,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,1,,,,,,,
C-PROF-GRID-MINR,232,Profile - Grid - Minor,,,,NULL,4,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC,300,Cross Section,,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-TEXT,301,Cross Section - Text,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-NOTE,302,Cross Section - Notes,,,,NULL,4,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-DIMS,303,Cross Section - Dimensions,,,,NULL,3,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-LINE,304,Cross Section - Lines,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-CELL,305,Cross Section - Cells,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-PTRN,306,Cross Section - Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-SYMB,307,Cross Section - Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-PNTS,308,Cross Section - Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-WORK,309,Cross Section - User Work (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-AXIS,310,Cross Section -Axis,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-AXIS-TEXT,311,Cross Section - Axis - Text,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-AXIS-TITL,312,Cross Section - Axis - Title,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-FRAM,320,Cross Section - Frame,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-GRID,330,Cross Section - Grid,,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-GRID-BLTX,331,Cross Section - Grid - Base Line Text,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-GRID-CLTX,332,Cross Section - Grid - Center Line Text,,,,NULL,4,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-GRID-HVGL,333,Cross Section - Grid - Center Line Text,,,,NULL,4,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-GRID-MAJR,334,Cross Section - Grid major lines,,,,NULL,4,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-GRID-MINR,335,Cross Section - Grid minor lines,,,,NULL,4,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-NAME,340,Cross Section - Name,,,,NULL,4,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-XSEC-NAME-TEXT,341,Cross Section - Name Text,,,,NULL,4,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-MILR,500,Military Ranges,,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0,2000,Alignment 0 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0-TEXT,2001,Alignment 0 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0-NOTE,2002,"Alignment 0 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0-DIMS,2003,"Alignment 0 -  Dimensions, Stationing",,,,NULL,3,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0-LINE,2004,Alignment 0 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0-COGO,2005,Alignment 0 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0-PTRN,2006,Alignment 0 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0-SYMB,2007,Alignment 0 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0-PNTS,2008,Alignment 0 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG0-WORK,2009,Alignment 0 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1,2020,Alignment 1 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1-TEXT,2021,Alignment 1 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1-NOTE,2022,"Alignment 1 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1-DIMS,2023,"Alignment 1 -  Dimensions, Stationing",,,,NULL,3,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1-LINE,2024,Alignment 1 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1-COGO,2025,Alignment 1 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1-PTRN,2026,Alignment 1 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1-SYMB,2027,Alignment 1 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1-PNTS,2028,Alignment 1 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG1-WORK,2029,Alignment 1 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2,2040,Alignment 2 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2-TEXT,2041,Alignment 2 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2-NOTE,2042,"Alignment 2 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2-DIMS,2043,"Alignment 2 -  Dimensions, Stationing",,,,NULL,3,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2-LINE,2044,Alignment 2 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2-COGO,2045,Alignment 2 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2-PTRN,2046,Alignment 2 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2-SYMB,2047,Alignment 2 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2-PNTS,2048,Alignment 2 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG2-WORK,2049,Alignment 2 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3,2060,Alignment 3 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3-TEXT,2061,Alignment 3 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3-NOTE,2062,"Alignment 3 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3-DIMS,2063,"Alignment 3 -  Dimensions, Stationing",,,,NULL,3,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3-LINE,2064,Alignment 3 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3-COGO,2065,Alignment 3 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3-PTRN,2066,Alignment 3 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3-SYMB,2067,Alignment 3 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3-PNTS,2068,Alignment 3 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG3-WORK,2069,Alignment 3 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4,2080,Alignment 4 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4-TEXT,2081,Alignment 4 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4-NOTE,2082,"Alignment 4 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4-DIMS,2083,"Alignment 4 -  Dimensions, Stationing",,,,NULL,3,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4-LINE,2084,Alignment 4 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4-COGO,2085,Alignment 4 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4-PTRN,2086,Alignment 4 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4-SYMB,2087,Alignment 4 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4-PNTS,2088,Alignment 4 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG4-WORK,2089,Alignment 4 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5,2100,Alignment 5 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5-TEXT,2101,Alignment 5 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5-NOTE,2102,"Alignment 5 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5-DIMS,2103,"Alignment 5 -  Dimensions, Stationing",,,,NULL,3,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5-LINE,2104,Alignment 5 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5-COGO,2105,Alignment 5 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5-PTRN,2106,Alignment 5 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5-SYMB,2107,Alignment 5 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5-PNTS,2108,Alignment 5 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG5-WORK,2109,Alignment 5 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6,2120,Alignment 6 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6-TEXT,2121,Alignment 6 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6-NOTE,2122,"Alignment 6 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6-DIMS,2123,"Alignment 6 -  Dimensions, Stationing",,,,NULL,3,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6-LINE,2124,Alignment 6 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6-COGO,2125,Alignment 6 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6-PTRN,2126,Alignment 6 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6-SYMB,2127,Alignment 6 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6-PNTS,2128,Alignment 6 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG6-WORK,2129,Alignment 6 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7,2140,Alignment 7 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7-TEXT,2141,Alignment 7 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7-NOTE,2142,"Alignment 7 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7-DIMS,2143,"Alignment 7 -  Dimensions, Stationing",,,,NULL,3,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7-LINE,2144,Alignment 7 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7-COGO,2145,Alignment 7 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7-PTRN,2146,Alignment 7 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7-SYMB,2147,Alignment 7 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7-PNTS,2148,Alignment 7 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG7-WORK,2149,Alignment 7 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8,2160,Alignment 8 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8-TEXT,2161,Alignment 8 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8-NOTE,2162,"Alignment 8 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8-DIMS,2163,"Alignment 8 -  Dimensions, Stationing",,,,NULL,3,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8-LINE,2164,Alignment 8 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8-COGO,2165,Alignment 8 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8-PTRN,2166,Alignment 8 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8-SYMB,2167,Alignment 8 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8-PNTS,2168,Alignment 8 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG8-WORK,2169,Alignment 8 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9,2180,Alignment 9 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9-NOTE,2181,"Alignment 9 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9-TEXT,2182,Alignment 9 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9-DIMS,2183,"Alignment 9 -  Dimensions, Stationing",,,,NULL,3,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9-LINE,2184,Alignment 9 -  Center/Base Line,,,,NULL,2,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9-COGO,2185,Alignment 9 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9-PTRN,2186,Alignment 9 -  Pattern,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9-SYMB,2187,Alignment 9 -  Symbols,,,,NULL,0,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9-PNTS,2188,Alignment 9 -  Points (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-ALG9-WORK,2189,Alignment 9 -  User work  (Non-Plotting),,,,NULL,5,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-BLN0,2500,Base Line 0 -  Base level  (Uncontrolled),,,,NULL,15,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-BLN0-TEXT,2501,Base Line 0 -  Annotation text,,,,NULL,5,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-BLN0-NOTE,2502,"Base Line 0 -  Notes, Curve Data",,,,NULL,4,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-BLN0-DIMS,2503,"Base Line 0 -  Dimensions, Stationing",,,,NULL,3,0,2,NULL,0,0.000000,1,0,0,1,,,,,,,
C-BLN0-LINE,2504,Base Line 0 -  Center/BaseLine,,,,NULL,2,line,1,NULL,0,0.000000,1,0,0,1,,,,,,,
C-BLN0-COGO,2505,Base Line 0 -  COGO points,,,,NULL,1,0,1,NULL,0,0.000000,1,0,0,1,,,,,,,
